Sl_No,CIN,Company_Name,Triggered_By,NCLT_Bench,Defunct,Date_Insolvency_Commencement,Date_Liquidation_Order,Total_Admitted_Claims,Admitted_Claims_FC,Admitted_Claims_OC,No_Resolution_Plans,Highest_Resolution_Value,Liquidation_Flag
2669,U63090WB2004PTC097876,Sky Infra Logistics Private Limited,FC,Kolkata,Yes,2024-05-01,2024-11-27,4.474793,4.474793,0,0.0,-,1
2670,U40108WB2012PLC210199,Visa Energy Ventures Limited,CD,Kolkata,Yes,2024-08-14,2024-11-26,0.0,0.0,0,0.0,-,1
2671,U24230GJ2011PTC066692,Cure Life Care Private Limited,FC,Ahmedabad,Yes,2019-05-31,2024-11-21,11.7390013,10.8938913,0.84511,2.0,1.044,1
2672,U50300UP1992PTC013928,Benara Automotives Private Limited ,CD,Allahabad,Yes,2020-01-29,2024-12-11,8.5623682,1.5837705,6.9785977,1.0,2.9322,1
2673,U70109DL2013PTC255320,Adjoin Built & Developers Private Limited,OC,New Delhi,Yes,2020-03-20,2024-11-14,2.2688664,0.0,2.2688664,0.0,-,1
2674,U32109KA2007PTC042635,Avvas Infotech Pvt Ltd*,FC,Bengaluru,,2021-04-06,2024-12-10,,,,,,1
2675,U51909MH2008PTC187854,Schema Enterprises Private Limited,OC,Mumbai,Yes,2021-08-10,2024-12-13,94.5673088,94.4676206,0.0996882,1.0,20.9807407,1
2676,U26942TG1984PLC005094,Sri Mata Infratech Limited,FC,Hyderabad,No,2022-04-28,2024-12-20,208.7143536,207.1169701,1.5973835,1.0,33.08,1
2677,U74999MH2015PTC262043,Sai Youths Agroproducts Private Limited,CD,Mumbai,Yes,2022-10-12,2024-12-05,10.1957692,10.1957692,0,0.0,-,1
2678,U18101WB2001PTC093391,Prapti Fashions Private Limited*,FC,Kolkata,,2022-10-18,2024-12-13,,,,,,1
2679,U29246AP2013PTC090019,Vantage Machine Tools Private Limited,OC,Amaravati,Yes,2022-11-28,2024-12-20,97.3125149,95.4392277,1.8732872,0.0,-,1
2680,U72100KA2009PTC051467,Black Pepper Technologies Private Limited,OC,Bengaluru,No,2023-01-31,2024-12-05,60.6294353,29.3961181,31.2333172,1.0,10.2,1
2681,U01403AP2012PTC080898,Sri Ananda Lakshmi Narasimha Industries India Private Limited,FC,Amaravati,Yes,2023-03-20,2024-12-19,53.6302803,53.6302803,0,1.0,3.95,1
2682,U28100MH2010PTC206067,Agrasen Trade Merchants Private Limited,OC,Mumbai,Yes,2023-03-29,2024-12-09,1.0534501,0.0,1.0534501,0.0,-,1
2683,U25203MH2009PTC214185,Santoshi Barrier Film Lndia Private Limited,FC,Mumbai,Yes,2023-04-18,2024-12-09,48.3385794,46.7235256,1.6150538,3.0,8.4411109,1
2684,U51909TG2002PTC039122,Gati Infrastructure Bhasmey Power Private Limited*,FC,Hyderabad,,2023-04-24,2024-12-06,,,,,,1
2685,U27100MH2004PTC145365,Yatin Steels India Private Limited,OC,Mumbai,Yes,2023-04-28,2024-12-09,428.3988174,417.5312996,10.8675178,0.0,-,1
2686,U50101MH1990PTC056302,Windals Auto Private Limited*,OC,Mumbai,,2023-04-28,2024-12-09,,,,,,1
2687,U45203RJ2004PTC019691,Macro Infra Contractors Private Limited,OC,Jaipur,Yes,2023-07-04,2024-12-11,23.9948331,22.0418292,1.9530039,0.0,-,1
2688,U45201WB1988PTC045417,Reacon Engineers (India) Private Limited,FC,Kolkata,No,2023-08-28,2024-12-17,376.3337915,359.7438061,16.5899854,2.0,10.15,1
2689,U18101TZ2008PTC014581,Cbc Fashions (Asia) Private Limited,FC,Chennai,Yes,2023-09-25,2024-12-13,65.3270801,54.4921148,10.8349653,1.0,20.4853,1
